text	label
Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .	positive
The company 's board of directors would propose a dividend of EUR0 .15 per share for 2005 .	neutral
Under the contract Cramo Sverige and its subcontractor Brinkab AB will provide all scaffolding installations at LKAB 's new pellets plant in Kiruna in northern Sweden .	positive
So far as is known , he did not sell shares that he owns personally .	neutral
Full-year net sales are expected to increase by approximately 10 % , the company said .	positive
The Financial Statements and Interim Reports will be released around at 9.00 a.m. ( Finnish time ) on the given dates .	neutral
Ixonos will finance the acquisition through a 3.8 mln euro $ 5.2 mln loan .	neutral
Fancy Dans on the move FAB Glasgow gift and interiors store Fancy Dans is moving !	neutral
1 Block lamp Harri Koskinen 's light was introduced in 1996 and has been a bestseller ever since .	positive
When open next year , it will be the largest facility in the world to produce diesel fuel from renewable feedstock such as palm oil and animal fat .	positive
`` Beyond the improved voice capabilities , customers now have a streamlined way to comply with recalls and other traceability requirements , providing them with a competitive advantage .	positive
And earlier this month , the company signed a deal with India-based information technology services giant Wipro Technologies to transfer and sell its radio access related R&D activities in Berlin .	positive
According to him , construction work will start in spring 2007 , and the facility is to be commissioned in spring 2008 .	neutral
The Liquid Handling segment offers laboratory equipment and accessories , including mechanical and electronic pipettes , and disposable tips used in the research institutions , universities , and hospitals , as well as in the pharmaceutical , food , and other industries under the Biohit brand .	neutral
The company plans to close two of the three lines at the plant , where some 450 jobs are under threat .	negative
Alma Media expects its net sales to increase as forecast previously .	positive
However , the suspect stole his burgundy Nissan Altima .	negative
The launch of the plant in June went well , and it has been producing the advanced fuel for a couple of weeks .	positive
Risto Jalo , chief executive of Dormus Print and also owner of the remainder of the company , will keep his position after the acquisition .	neutral
It now owns 80,565 shares in Amer Sports Corporation , equaling 0.11 % of the company 's share capital and voting rights .	neutral
In 2005 the bank posted a net profit of Lt 8.2 mn .	neutral
The repurchases shall decrease the distributable capital and reserves .	negative
The Federal Secretary for Transport and Communication of Mexico has awarded Poyry and its Mexican partner Sintra a consulting contract in connection with the Buenavista-Cuautitlan suburban railway .	positive
Finnish food industry companies HK Ruokatalo and Atria will form a joint venture company called L+Ænsi-Kalkkuna to produce turkey meat .	positive
HELSINKI ( Thomson Financial ) - Kone said it has won four orders in Saudi Arabia , United Arab Emirates and Qatar worth 40 mln eur .	positive
The fair value change of investment properties was EUR 15.8 mn , compared to EUR 22.9 mn in the third quarter of 2009 .	negative
As much biomass will be used as can be sourced locally , with the rest of the plant 's fuel needs met by peat .	neutral
The impact of this acquisition to Teleste 's net sales for 2010 is estimated to be approximately EUR 2 million .	neutral
Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .	negative
Cargotec Germany GmbH has been awarded a contract by Stadtverwaltung Mainz for chassis bodies under Open procedure .	positive
Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .	neutral
The report will be emailed within 2 business days of an order .	neutral
The office space will rise above the remodeled Cannon Street underground station .	neutral
Intellisync Wireless Email from Nokia is a full-featured wireless e-mail solution that connects users to their e-mail , calendar , contacts , notes and task lists while away from the office , according to the company .	neutral
SCOPI Chief Business Excellence Officer , Eng .	neutral
In 2007 , Contempus generated revenue of NOK 69.3 ( approx .	neutral
In the Czech Republic , the smaller profiling unit at Ostrava will be closed and the machinery will be gradually relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 .	neutral
When completed , the 120-meter Watchtower will be the highest building in Ireland .	neutral
Cathay Forest 's strategy is to develop sustainable , regenerative forest assets .	neutral
The Marubeni Group focuses on creating `` value chain '' from upstream to downstream , encompassing a wide variety of business fields , including oil & gas , metals , mineral resources , foods , pulp & paper and chemicals , among others .	neutral
Press release 9 October 2009 Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .	positive
Ahlstrom , headquartered in Helsinki , Finland , is a global company involved in the development , manufacture and marketing of high performance fibre-based materials .	neutral
Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .	neutral
The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running .	negative
Russian export duties will activate harvesting in Finland , and sales in Russia will increase also .	positive
Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said today its net loss narrowed to EUR 500,000 ( USD 680,000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier .	positive
Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .	negative
The order includes a steel frame , load-bearing roof structures and partition wall elements , and Rautaruukki said it expects to complete installation as early as May next year .	neutral
The aforementioned shareholders have informed that they will propose to the Annual General Meeting that the number of members of the Board of Directors shall be five and that besides the present members of the Board of Directors also Mr Lassi Noponen shall be elected to the Board of Directors .	neutral
`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .	positive
Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .	negative
The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme .	negative
Finnish messaging solutions developer Tecnomen Corporation ( OMX Helsinki : TEM1V ) said on Thursday ( 11 December ) that it has received an expansion order for its Convergent Charging solution in Latin America .	positive
The order includes a new Crecent former , headbox , and reel .	neutral
A filter is used to pre-process packets to determine if they need to be further processed by the processor of the network device .	neutral
Saunalahti is a part of the Elisa group .	neutral
Poyry has a good track record of major transportation projects in Latin America .	positive
The indexes include the top companies that are committed to sustainable development .	neutral
The Department Store Division 's sales fell by 8.6 % to EUR 140.2 mn .	negative
Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .	positive
The Whitehall Street Real Estate Funds invest in real estate and real estate related assets , principally through the acquisition of real estate companies , real property and mortgage loans .	neutral
Raute said it has won an order worth around 15 mln eur to supply several plywood production lines to mills operated by Russian wood products company Sveza Group .	positive
The company said that the fall in turnover had been planned .	negative
The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting .	neutral
`` Consumers have very well received our packed fresh meat .	positive
The Group 's revenue amounts to over EUR 80 million , about half of which is accounted for by exports .	neutral
Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn .	positive
2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .	negative
The price of the 10,000 kroon par value bonds was 9663,51 kroons in the primary issue .	neutral
s NASDAQ OMX : GEO1V , GyPSii business unit , developers of the award-winning GyPSii mobile social networking application , today announced its availability as a free download via the Samsung Mobile Applications Store .	neutral
BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay solution suite .	neutral
According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .	neutral
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .	negative
The major part of the deliveries include different AC and CXE amplifier solutions and products by Belgian DINH Telecom , a broadband solutions company acquired by Teleste in the spring of 2007 .	neutral
As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .	neutral
Marathon estimates the value of its remaining stake in Protalix at $ 27 million .	neutral
The company 's set of services include digital printing , printing preparation , offset-printing , after-treatment services and send out services .	neutral
Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format .	neutral
The Commission is to be applauded for applying a fact-based and data-driven approach and for providing clarity for future petitions .	positive
OUTOTEC OYJ PRESS RELEASE DECEMBER 4 , 2009 10.30 AM Outotec establishes a new subsidiary in Kolkata Outotec has established a subsidiary in India in order to better serve its Indian customers and to increase its business in the growing Indian market .	positive
Mformation and Nokia noted they have established interoperability agreements that cover commercially proven , standards-based management of mobile devices , as well as mobile device security and mobile application management .	positive
The sale price was not disclosed .	neutral
Europe however remains an important and strong market for us .	neutral
The potential acquirer is Cencorp Corporation which is a related entity to SAV owing to each of SAV and Cencorp being a subsidiary of the Finnish Savcor Group Oy .	neutral
The annual net sales of the unit is some EUR 5 million and it currently employs some 55 people .	neutral
Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .	positive
HELSINKI ( AFX ) - Metso said it will upgrade one of UPM-Kymmene 's four paper machines at the latter 's mill in Jaemsaenkoski with a new coating color supply system , machine and process controls and quality measurements .	positive
Nokia will certainly disagree with Qualcomm 's views on the patent situation .	negative
Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares .	neutral
`` I 'm happy with the outcome , '' Sneed said after the hearing .	positive
He announced a `` solutions unit '' to speed co-operation in August , and shifted Simonson from finance chief to low-end phones in October .	neutral
The tower it chose to add , due to go into operation in the summer , will increase total capacity to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side .	positive
Nordea Bank AB publ holds 6.000 Alma Media shares , representing 0.008 % of share capital and voting rights .	neutral
Compared with the FTSE 100 index , which rose 28.3 points or 0.5 % on the day , this was a relative price change of 2.3 % .	positive
Prothious Engineering ( www.prothious.com ) employs more than 1,000 and has a large portfolio of projects and an annual detailing capacity of more than 100,000 tonnes .	neutral
Stora Enso Oyj said its second-quarter result would fall by half compared with the same period in 2007 .	negative
In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .	positive
The personnel reduction will be carried out in Anjalankoski , Hollola , Jyvaskyla , Jarvenpaa , Karhula , Turku and Valkeakoski units .	negative
Also , CBA is to issue a benchmark , 10 year fixed rate deal in Euros .	neutral
Uponor maintains its full-year guidance for 2010 .	neutral
The bond , with a maturity of five years , is part of the bank 's domestic bond program .	neutral
Technopolis said before the protocol was signed that the techno-park would be built at a site covering more than six hectares in the Neudorf special economic zone and that it planned to invest 200 million euros in the project until 2009 inclusive .	neutral
Olvi has posted a strong set of figures for the first six months of this year .	positive
`` The summer collection 2008 will be joyfully fresh like a vitamin injection , '' said H&M 's head of design Margareta van den Bosch .	neutral
ALEXANDRIA , Va. , May 23 -- Matti Harkonen and Pentti Sipponen , both of Espoo , Finland , Osmo Suovaniemi of Helsinki , Finland , and Tapani Tiusanen of Vantaa , Finland , have developed a paper web press device .	neutral
Comptel Corporation will publish its financial statements for 2008 on 12 February 2009 .	neutral
The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .	negative
You will hear the latest insights and updates on Citycon 's strategy as well as the latest news from all the business units .	neutral
However , the bottom-line result improved thanks to positive financial items .	positive
The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China .	positive
Savon koulutuskuntayhtyma , Finland based company has awarded contract for specialist agricultural or forestry machinery .	positive
Talvivaara also maintains its assumption of turning cash flow positive before the year end .	positive
By acquiring RCP , we can combine our strong knowhow with the expertise of a solid local company .	positive
However , its market share shrank to 47.59 per cent from 48 per cent a year earlier .	negative
Speaking to just-drinks today , a spokesperson for Olvi said : `` We have performed very well in all four countries we operate in - namely , Finland , Estonia , Latvia and Lithuania . ''	positive
With this acquisition Panostaja Oyj further expands its business area specialising in digital printing .	positive
The Estonian beverages maker A. Le Coq today brought to the market a new premium class beer , A. Le Coq Special , investing 6 million kroons EUR 383,000 into its development and planning to sell three million liters of the beer during the next year .	neutral
ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press .	neutral
U.S. District Judge Douglas P. Woodlock yesterday extended a Jan. 17 temporary restraining order until March 7 .	neutral
EB announced in its stock exchange release on November 18th 2008 that J.T. Bergqvist has resigned from the chairmanship and membership of the Board of EB .	negative
The company may at any time have in its possession one tenth of all its shares at the maximum .	neutral
The per-share subscription price of the shares subscribed with the option rights was EUR 1.35 .	neutral
MD Henning Bahr of Stockmann Gruppen praises the trend , since the chains become stronger and their decision-making processes more clear .	positive
The metal has gained 41 percent this year as demand from China , the world 's largest user , increased .	positive
Following the increase , Huhtamaki Oyj 's registered share capital is EUR 358,706,290.00 and the number of shares outstanding is 105,501,850 .	neutral
's Outokumpu Technology business will begin trading on the Nordic Exchange in Helsinki starting Oct. 10 , becoming the sixth company to list on that exchange this year , the company said Friday .	neutral
Cost cutting measures , which have produced around EUR70m of savings over the past nine months , have dampened the airline 's loss , Finnair said .	positive
Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .	positive
Finnish drug distributor and wholesaler Oriola-KD Oyj said on October 11 , 2006 it named Anne Kariniemi vice president of its Logistics and Sourcing department as of January 15 , 2007 .	neutral
It is also in the process of taking a seat on CapMan 's board - a course which has the support of CapMan management .	neutral
Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 .	neutral
Kesko www.kesko.fi is a Finnish retail specialist whose stores offer quality to the daily lives of consumers through valued products and services at competitive prices .	neutral
The emerging markets that Raisio has chosen to enter so far are marked by relatively low per capita food consumption .	neutral
4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .	positive
Finnish Ahlstrom Corporation has ordered key production equipment for a new glass nonwovens production line at its Russian Tver Mill from Finnish Vaahto Pulp & Paper Machinery ( that is part of Vaahto Group ) .	positive
In Finland , Martela offers a comprehensive service that can cover the entire process of change from initial inventory and design to removal and maintenance .	neutral
INTERNET BUSINESS NEWS - -_ 1995-2006 M2 COMMUNICATIONS LTD As part of a drive to protect users of its Internet banking service , Barclays Bank has announced that it is to recommend F-Secure Internet Security to its customers .	neutral
A total of 185 Wonderware Certified SIs are available to integrate and support Wonderware products such as InTouch - HMI software , IndustrialSQL Server historian , Wonderware Information Server , DT Analyst software or QI Analyst SPC software .	neutral
Each option right entitles the holder to subscribe for one new share at a subscription price of EUR0 .045 during the subscription period which ends on 31 December 2013 .	neutral
Productional situation has now improved .	positive
The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most .	negative
The total area of the Gorelovo plant is about 22,000 sq m. Atria invested about EURO 70mn in the plant , which should double Atria Russia 's production capacity in the St Petersburg area .	positive
Cargo volume grew by 7 % .	positive
Subscription sales decreased slightly .	negative
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .	negative
Alpina Sports is a Lebanon , New Hampshire USA based distributor of e.g. Alpina ski shoes and skis , Exel ski poles , Start ski waxes and now also Peltonen cross-country skis .	neutral
The company has also supplied more than 200 MW of power generating equipment for a number of projects in Papua New Guinea , including 12 engines of the Wartsila 32 type to Lihir Gold .	neutral
All rights reserved .	neutral
The power supplies , DC power systems and inverters designed and manufactured by Efore , and systems incorporating them are used in many different applications .	neutral
In this way , the industry 's starting point has been the consumers ' needs .	neutral
Niina Nenonen , Marimekko 's current director for clothing , bags and accessories lines , will take up this role .	neutral
`` Printed fabrics and related design expertise have always been the core of Marimekko 's business and brand .	neutral
At some point in 2010 , all separate company names , such as Palmberg , Tekmanni , Lemcon , Forssan Betoni , Suonenjoen Betonituote , among others , will disappear .	neutral
The customers will have an access to integrated propeller and gear packages from one source .	neutral
The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million .	positive
In addition , Lehdentekijat Oy will start producing a new membership magazine , Viisas Raha ( Wise Money ) for the Association .	positive
While I cant understand what theyre saying , its impressive to watch him hit that ball at those speeds .	neutral
Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .	positive
Finnish soapstone processing and fireplaces maker Tulikivi Oyj said on February 26 , 2007 it would cut less than 20 jobs from its fireplace sales organization , production facilities and its subsidiary Kermansavi Oy .	negative
Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .	negative
The report provides a comprehensive insight into the company , including business structure and operations , executive biographies and key competitors .	positive
The value of the contract is in total USD12m .	neutral
RSA 's shares closed at 156.9 p at the time of going to press .	neutral
Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors .	neutral
According to Karhinen , OP-Pohjola is an exciting enterprise because the cooperation will bring huge opportunities for customers and the company itself .	positive
The company 's board of directors would propose a dividend of EUR1 .00 per share for 2005 .	neutral
`` We love Activision 's fresh , colorful approach to Rapala : We Fish , '' said Kelly Brockpahler , Rapala .	positive
Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007 .	negative
Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .	positive
For the purposes of the possible acquisition , PKC would establish a subsidiary in Poland .	neutral
Seller is the Finnish Elcoteq Group , the largest European electronics manufacturing services company .	neutral
The share of the share capital of both above mentioned shareholders remains below 5 % .	neutral
The fourth quarter saw Rapala swing back to a pretax profit of 1.5 mln eur from a year earlier loss of 1.2 mln on the back of a 30 pct uplift in sales to 44.8 mln eur , and a stronger performance in North America .	positive
Net investment income	neutral
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .	neutral
Pioneer Library System was one of 127 libraries , municipalities , arts , culture and higher education and science organizations to have been awarded grants to participate in The Big Read , the largest federal reading program in U.S. history .	positive
The company expects sales revenue of RMB8 .0 billion in 2009 .	neutral
Jul. 18 -- Police are looking for a man who they say terrorized three males at gunpoint on East Maple Avenue this afternoon , shooting one of them and kidnapping another .	negative
In Switzerland , Teleste have been an established supplier of products for a long time and its primary customers include cable and fiber-to-the-home ( FTTH ) operators .	neutral
The group will expand the chain to include 45 stores .	positive
Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .	positive
Janis Arbidans , CEO of YIT Celtnieciba , said the company was focusing on housing and real estate development market .	neutral
The contract was signed in August with Papua New Guinea-based Lihir Gold Ltd ASX : LGL .	positive
For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .	positive
The number of customers is one of the most important parameters in determining the price of electricity networks .	neutral
For 2009 , Incap expects revenue of some EUR 70 million .	neutral
The mill has long traditions and holds an established position in the markets .	positive
The money will be spent `` on strengthening the company 's competitiveness in the sphere of sawmill products and increasing the volume of wood delivered for processing in Russia , '' the release says .	positive
The total emissions reduction from 1999 to 2017 will be thus 41 % .	neutral
An appeal concerning the project has been lodged at the Czech Ministry of the Environment .	neutral
Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .	positive
Loudeye Corp. , up $ 2.56 at $ 4.33 Nokia Corp. , down 10 cents at $ 19.46 Nokia agreed to buy the digital music distributor for $ 60 million .	neutral
`` After the transaction , Tikkurila has no powder coatings-related operations , '' the company said .	neutral
Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 .	negative
Selects Third Party Logistics Leader Transplace for Best-in-Class Technology , Procurement Capabilities ; Leading Specialty Packaging Manufacturer Employs Complete 3PL Solution for Supply Chain Visibility and Transportation Efficiency to Increase Service Levels and On-Time Deliveries	positive
The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .	neutral
The total number of shares in the company will be 585,236,987 Innofactor group Innofactor offers its customers comprehensive solutions in the Microsoft environment .	neutral
In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .	positive
The Bank of +_land acquired the private banking business , asset management , and share brokerage business of Kaupthing Sweden in early 2009 .	neutral
Net sales dropped by 6 % year-on-year to EUR 11.9 million .	negative
Finnish energy company Fortum Oyj said on November 13 , 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm .	positive
agreement with SHB 30 December 2009 - Finnish financial services group Aktia HEL : AKTAV has concluded a market making agreement with Svenska Handelsbanken STO : SHB A , or SHB , the two parties said today .	positive
Finland 's Technopolis is planning to bring the first section of a technopark on stream in St. Petersburg at the end of 2008 , Kari Mikkonen , vice president of Technopolis , told reporters in Helsinki .	neutral
com and possibly also through photo-msn .	neutral
The final outcome of the rights offering is to be reported around 23 October 2009 .	neutral
Shareholders have a right to put on the agenda of the AGM items that are within the competence of the general meeting .	neutral
In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .	positive
This transaction will also rationalize our pulp and paper industry related solutions .	positive
AGJ recorded EUR 43 mln sales in 2006 , most of which was generated by exports to customers in Western Europe , the statement said .	neutral
The properties were purchased from Swedish private equity real estate firm Niam and Goldman Sachs ' Whitehall Street Real Estate Funds .	neutral
After Chuck Smith was laid off on May 30 from his $ 90,000 housing consultant job , he and his wife had to cut spending in half for their family of six , having to rely on his wife 's income -- about the same as his -- alone .	negative
Finland-based international machinery rental company Ramirent Plc ( OMX Helsinki : RMR1V ) reported on Friday ( 15 August ) an operating profit of EUR65 .0 m on net sales of EUR342 .9 m for the period January-June 2008 .	neutral
The Finnish food concern Atria is about to acquire two Estonian meat processing companies , Woro Kommerts and Vastse-Kuuste Lihatoostus , reported the Official website www.investinestonia.com .	neutral
In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier .	negative
`` These developments partly reflect the government 's higher activity in the field of dividend policy . ''	neutral
Two other sites will be included later on .	neutral
We are now in a position to pursue novel clinical candidates going forward . ''	positive
`` We reached agreement with the union that flights will continue as normal , '' Finnair spokesman Usko Maatta said .	positive
The remaining amount will be funded through debt , the Danish bank said .	neutral
Upon completion of the deal Panostaja will establish a new business area within the group to focus on heat treatment of metals .	neutral
Net sales in 2010 were about EUR 2.0 billion , of which international operations accounted for roughly a quarter .	neutral
`` Russia is ready to participate in an open tender for Lattelecom 's privatization .	neutral
The order was valued at over EUR15m .	neutral
The presentation material can be viewed on the company 's website in English after the conference .	neutral
Comparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 .	negative
Finnish aluminium products manufacturer Nordic Aluminium Plc ( OMX Helsinki : NOA1V ) reported on Monday ( 18 August ) an operating profit of EUR7 .9 m on net sales of EUR55 .2 m for the period January-June 2008 .	neutral
Nokia is requesting that the companies stop making and selling the mobile phones and pay monetary damages and costs .	neutral
The total value of the deliveries is some EUR65m .	neutral
The terms and conditions of the year 2003 stock option scheme were published in a stock exchange release on 31 March 2003 .	neutral
Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .	negative
Finnish financial solutions developer Basware Corporation ( OMX Helsinki BAS1V ) said on Tuesday ( 23 September ) that it will deliver a complete Invoice Automation solution to a large US engineering , construction and technical services organization .	positive
a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share .	positive
Sales are expected to increase in the end of the year 2006 , however .	positive
L&T also acquired a 50 pct stake in local sector company Salvor Oy at the beginning of September 2007 .	neutral
